context,response,context_length,response_length
Your reputation won't last up if you don't do your job. The clinic is part of your job. I want you to do your job.,"Well, like the philosopher Jagger once said, ""You can't always get what you want.""",25,14
"Yes, why are you yelling?","No MRIs, no imaging studies, no labs.",5,7
You also can't make long distance phone calls.,If you're gonna fire me at least have the guts to face me.,8,13
Or photocopies; you're still yelling.,I'm ANGRY! You're risking a Patient's life.,5,7
I assume those are two separate points.,"You showed me disrespect, you embarrassed me and as long as I'm still work here you have!",7,17
"Oh, I looked into that philosopher you quoted, Jagger, and you're right, ""You can't always get what you want,"" but as it turns out ""if you try sometimes you get what you need.""","So, because you want me to treat Patients, you aren't letting me treat Patients.",33,14
I need you to do your job.,"Do the MRI, she folded. I've gotta do four hours a week in this clinic until I make up the time I've missed. 2054. I'll be caught up in 2054. You better love this cousin a whole lot.",7,38
Just get some rest for now.,"Told you, can't trust people.",6,5
"She pRobably knew she was allergic to gadolinium, figured it was an easy way to get someone to cut a hole in her throat.","Can't get a picture, gonna have to get a thousand words.",24,11
You actually want me to talk to the Patient? Get a history?,We need to know if there's some genetic or environmental causes triggering an inflammatory response.,12,15
"That doesn't mean anything,does it?","12:52 PM Dr. House checks in, please write that down. Do you have cable TV here somewhere? General Hospital starts in 8 minutes.",5,23
"No TV, but we've got Patients.",Can't you give out the aspirin yourself? I'll do paperwork.,6,10
I made sure your first case was an interesting one.,"Cough just won't go away, runny nose looks a funny color.",10,11
Patient admitted complaining of back spasms.,I think I read about something like that in the New England Journal of Medicine.,6,15
"Oh, for you, for your leg.","No, 'cause they're yummy. You want one? It'll make your back feel better.",6,13
"No, 'cause they're yummy. You want one? It'll make your back feel better.","Unfortunately, you have a deeper pRoblem. Your wife is having an affair.",13,12
"You're orange, you moron! It's one thing for you not to notice, but if your wife hasn't picked up on the fact that her husband has changed color, she's just not paying attention. By the way, do you consume just a ridiculous amount of carrots and mega-dose vitamins?","The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer.",48,22
What happened to your leg?,"Your doctor pRobably was concerned about the strength of the medicine, too. She pRobably weighed that danger against the danger of not breathing. Oxygen is so important during those prepubescent years, don't you think? Ok, I'm gonna assume that no body's Ever told you what asthma is, or if they have, you had other things on your mind. A stimulant triggers cells in your Parkld's airways to release substances that inflame the air passages and cause them to contract. Mucus production increases, cell-lining starts to shed. But the steroids, the steroids!stop the inflammation. The more often this happens!",5,98
"What? ""The more often this happens!""what?""","Forget it. If you don't trust steroids, you shouldn't trust doctors.",6,11
Inflammation of the blood vessels in the brain is awfully rare. Especially for someone her age.,So is a tumor. Her SED rate was elevated.,16,9
"That could mean anything, or nothing.","Yeah, I know. I have no reason to think that it's vasculitus except that it could be.",6,17
You can't diagnose that without a biopsy.,"Yes, we can, we treat it. If she gets better we know that we're right.",7,15
Psitticosis can lead to nerve pRoblems and neurological complications.,How Many kids were there in the class?,9,8
She lives in Trenton. I can go up to her room tomorrow morning and ask her for the key.,Would the police call for permission before dropping by to check out a crime scene?,19,15
It's not a crime scene.,Far as I know she's running a Meth Lab out of her basement.,5,13
"Whoa, oh, I can't just break into someone's House.","Isn't that how you got into the Felker's home? Yeah, I know, court records are sealed, you were 16, it was a stupid mistake, but your old gym teacher has a big mouth. You should write a thank you note.",9,40
But I'm pretty sure I can sue if you fire me for not breaking into some lady's House.,I'm doing research. People are fascinating aren't they?,18,8
Why are you giving Adler steroids?,"Well, she's my Patient that's what you do with Patients. You give them medicine.",6,14
You don't prescribe medicine based on guesses. At least we don't since Tuskeegee and Mengele.,You're comparing me to a Nazi? Nice.,15,7
You don't have any evidence. And nobody knows anything huh? Then how is it that you always assume you're right?,"I don't, I just find it hard to operate on the opposite assumption. And why are you so afraid of making a mistake?",20,23
"Given the latest symptoms it's clearly growing deeper into the brain stem. Soon she won't be able to walk, she'll go blind perManently, and then the respiratory center will fail.",How long do we have?,30,5
"If it's a tumor we're talking a month, maybe two, if it's infectious a few weeks, if it's vascular that'll pRobably be fastest of all, maybe a week.",We're gonna stop all treatment.,28,5
"Well, maybe we didn't see the effects until we started steroids.","No, it's not a tumor. The steroids did something, I just don't know what.",11,14
So we're just gonna do nothing? We're just gonna watch her die?,"Yeah, we're gonna watch her die. Specifically we're gonna watch how fast she's dying. You just told us, each diagnosis has its own timeframe. When we see how fast it's killing her we'll know what it is.",12,37
"There's go to be something we can do, something better than watParkng her die.","Well, I got nothing. How 'bout you?",14,7
It's kinda the definition isn't it?,It's kinda the definition of getting older.,6,7
"I had a couple headaches last month, mild fEver, sometimes I can't sleep, and I have trouble concentrating.",Apparently not while researParkng this stuff on the internet.,18,9
Is there anything for that?,"Ya know, I think there just might be.",5,8
"Ya know, I think there just might be.","I need 36 Vicodin, and change for a dollar.",8,9
Not that I could tell from her underwear drawer.,You said nothing that would explain these symptoms. What did you find that doesn't explain these symptoms?,9,17
Tapeworm?! You think she's got a worm in her brain?,"It fits. Could have been living there for years, it nEver occurred to me",10,14
Millions of people eat ham Every day. It's quite a leap to think that she's got a tapeworm.,"OK, Mr. Neurologist. What happens when you give steroids to a person who has a tapeworm?",18,16
Just like Rebecca Adler did.,"In a typical case if you don't cook pork well enough you ingest live tapeworm larvae. They got these little hooks they grab onto your bowel, they live, they grow up, they reproduce.",5,33
"Reproduce? There's only got one lesion, and it's nowhere near her bowel.","That's because this is not a typical case. Tapeworm can produce 20 to 30,000 eggs a day. Guess where they go.",12,21
"As long as it's healthy, so what do we do? Call a vet and nurse the little guy back to health?","It's too late for that. It's dying, and as it dies this parasite loses the ability to control of the host's defenses. The immune system wakes up and attacks the worm and Everything starts to swell, and that is very bad for the brain.",21,44
"No, you can't. I was just with her, she doesn't want any more treatments, she doesn't want any more experiments, she wants to go home and die.","Will you excuse us, please?",27,5
It's good to meet you.,"You're being an idiot. Ahem. You have a tapeworm in your brain, it's not pleasant, but if we don't do anything you'll be dead by the weekend.",5,27
Have you actually seen the worm?,When you're all better I'll show you my diplomas.,6,9
You were sure I had vasculitus too. Now I can't walk and I'm wearing a,"I'm not talking about a treatment; I'm talking about a cure. But because I might be wrong, you want to die.",15,21
Wasn't there something they could do?,"There was plenty they could do, if they made the right diagnosis, but the only symptom was pain. Not may people get to experience muscle death.",6,26
Did you think you were dying?,I hoped I was dying.,6,5
"So you hide in your office, refuse to see Patients because you don't like the way people look at you. You feel cheated by life so now you're gonna get Even with the world. You want me to fight this. Why? What makes you think I'm so much better than you?","When you're scared, you'll turn into me.",51,7
I just want to die with a little dignity.,"There's no such thing! Our bodies break down, sometimes when we're 90, sometimes before we're Even born, but it always happens and there's nEver any dignity in it. I don't care if you can walk, see, wipe your own ass. It's always ugly, always. You can live with dignity, we can't die with it.",9,54
"So because you respect her, you're going to let her die?","I solved the case, my work is done.",11,8
"I solved the case, my work is done.","Patients always want proof, we're not making cars here, we don't give guarantees.",8,13
"I think we can prove it's a worm. It's noninvasive, it's safe. I'm not completely sure but!","Yeah, yeah, yeah what's the damn idea?",17,7
"Which is the same thing as a CT scan, which we did, which proved nothing.","Worm cysts is the same density as the cerebrospinal fluid, we're not going to see anything in her head, but Chase is right, he's right, we should x-ray her, but we don't x-ray her brain, we x-ray her leg, worms love thigh muscle. If she's got one in her head I guarantee you there's one in her leg.",15,58
You hired a black guy because he had a juvenile record.,"No, it wasn't a racial thing, I didn't see a black guy. I just saw a doctor!with a juvenile record. I hired Chase 'cause his dad made a phone call. I hired you because you are extremely pretty.",11,38
You hired me to get into my pants?!,"I can't beliEve that that would shock you. It's also not what I said. No, I hired you because you look good; it's like having a nice piece of art in the lobby.",8,33
I did an internship at the Mayo Clinic.,"Yes, you were a very good applicant.",8,7
I worked very hard to get where I am.,"But you didn't have to. People choose the paths that gain them the greatest rewards for the least amount of effort. That's a law of nature, and you defied it. That's why I hired you. You could have married rich, could have been a model, you could have just shown up and people would have given you stuff. Lots of stuff, but you didn't, you worked your stunning little ass off.",9,71
Am I supposed to be flattered?,Gorgeous women do not go to medical school. Unless they're as damaged as they are beautiful. Were you abused by a family member?,6,23
It got you to take the case.,"You lied to a friend to save a stranger, you don't think that's screwed up?",7,15
He says he needs a refill.,Got change for a dollar?,6,5
Is Cuddy down the hall counting to 50?,"She's knows I'm in here, the clinic, as she comManded; she just doesn't know I'm alone.",8,16
You're doing this to avoid 5 minutes of work?,"I go out there, I get assigned a kid with a runny nose. That's 30 seconds looking at the nose; 25 minutes talking to a worried mom who won't leave until she sure it's not meningitis or a tumor.",9,39
"And that would be wrong. But luckily, the definition of urgent is fungible.",Not the definition of case though.,13,6
"You have no cases. You have NO cases. You've got handpicked doctors, specialists, working for you, and they're sitting on their hands?",Cameron is answering my mail.,22,5
But we had an appointment.,"Hah, nice try, but this is a walk-in clinic, which means there are no appointments. It means you walk in, sign the chart and a doctor will see you, just not me.",5,32
But your letter says that we would see you.,Not a big letter writer.,9,5
"It's impossible to get to you through normal channels, they have called!",PersEverance does not equal worthiness. Next time you want to get my attention wear something fun. Low-rider jeans are hot.,12,20
"16 year old male, sudden onset of double vision and night terrors, with no apparent cause. The kid's been to 2 neurologists!","Night terrors, yeah? As in big scary monsters?",22,8
You're going to examine a Patient?,"9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family. Good work.",6,33
"9 times out of 10 there's no reason to talk to a Patient, but night terrors in a 16 year old is a VERY good reason to talk to this family. Good work.","Margins look fine. No lesions, color is good. How long have you been having night terrors?",33,16
What does that tell you?,"Nothing, it's just fun watParkng him blink. Name as Many animals as you can that begin with the letter ""B"" go.",5,21
What does that tell you?,"Proves two things, no neurological damage, and your son is nEver going to be Parkef fry cook. In teens there are two likely causes of night terrors: post traumatic stress, any recent shootouts at your high school?",5,37
We would nEver do anything to hurt Dan.,"I say it here, it comes out there. This lack of response is consistent with abuse.",8,16
"There's no one, ok? I swear. There was trauma; I got hit in the head during a lacrosse game.",Did you know that he got hit in the head?,19,10
"No, no, we took him to the ER after the game. He was scanned, they tested him, they said he was fine. No concussion, it's gotta be something else.","You hound me for my opinion and then question my diagnosis. Cool. ER obviously screwed up, kid's got a concussion.",29,20
I had double vision before I got hit.,"Well, that changes Everything, you need glasses. That's why you had double vision, which is why you got hit, which is why you have a concussion, which is why you have night terrors. You need to see an ophthalmologist, which I am not.",8,43
"You enjoyed that. I brought a reasonable case to your attention, and you shoved it in my face just to humiliate me.","You're an only Parkld, aren't you?",22,6
Why would you say that?,"Everything is about you. This may seem incredibly controversial, but I think sexual abuse is bad. I just wanted to make sure he wasn't being diddled by daddy, or mommy, anything else is just a bonus.",5,36
He nEver sleeps! Of course he's tired.,"Right now, at this moment, are you tired?",7,8
His leg twitched. I don't see what!,"It's called a myoclonic jerk, it's very common when you're falling asleep. Respiration rate falls, and the brain interprets this as the body dying, so it sends a pulse to wake it up.",7,33
"So, he's not asleep, he's awake. Admit him.","I recognize that loopy ""G"". So, what does the jerk tell us?",8,12
"Nothing good, the brain's losing control of the body. Can't order the eyes to focus, regulate sleep patterns or control muscle movements.","A movement disorder, or degenerative brain disease. Either way this kid's gonna be picking up his diploma in diapers and a wheelchair.",22,22
"Maybe not that bad, could be an infection.","You wish. No fEver, no white count. Anyone think this differential diagnosis might be compromised because we don't have an accurate family history?",8,23
I took an accurate family history.,You didn't Even take an accurate family. His father's not his father.,6,12
Why would you say that?,30 of all dads out there don't realize they're raising someone else's kid.,5,13
From what I've read false paternity is more like 10.,That's what our moms would like us to beliEve.,10,9
"Who cares? If he got it from his parents they'd both be dead by now, can we get on with the differential diagnosis?",Fifty bucks says I'm right.,23,5
"It doesn't necessarily have to be that bad. If we exclude the night terrors it could be something systemic: his liver, kidneys, something outside the brain.","Yes, feel free to exclude any symptom if it makes your job easier.",26,13
I usually don't move during night terrors.,I'm not restraining you for them. EEG rEvealed abnormalities in your brain caused by nerve damage in your toes.,7,19
Can I talk to my parents?,"Oh, they know all about this.",6,6
I'd really like to see them. Please! I'd really like them here.,"This is gonna hurt, Dan.",12,5
"We did a CT, MRI, CBC, Chem-7 and chest x-ray. All the tests came back normal. There's nothing to explain his symptoms.","Ok, but let's pretend there's something and go from there. Who sees something on this MRI?",22,16
Meningeal enhancement. My bet is viral meningitis.,"Excellent, you see what he did there? He took a small clue that there's a neurological pRoblem and wasn't afraid to run with it.",7,24
There's no evidence of meningitis on that MRI.,"No, there's not, he's completely wrong.",8,6
Then what clue are you talking about?,"He knew that I saw something on the MRI so he figured there must be something there and took a guess. ClEver, but also pathetic.",7,25
"So, what did you find?",Take a close look at the corpus callosum.,5,8
"He pRobably just moved, nobody stays perfectly still for their entire MRI.","Yeah, he pRobably got restless and shifted one hemisphere of his brain to a more comfortable position. Something is pushing on it.",12,22
If there's bowing it could be a tumor.,Do you see a tumor on this MRI?,8,8
"No, but I don't see any bowing, either.","There's no tumor, just a blockage causing pressure, causing symptoms. Today",8,11
"No more pressure, Everything goes back to normal.",He's lucky to have you as his doctors.,8,8
Her whole face just got swollen like this overnight.,"Mmhmm. No fEver, glands normal, missing her vaccination dates.",9,9
"Gribbit, gribbit, gribbit. All natural, no dyes. That's a good business: all-natural Parkldren's toys. Those toy companies, they don't arbitrarily mark up their frogs. They don't lie about how much they spend on research and dEvelopment. The worst a toy company can be accused of is making a really boring frog.","Gribbit, gribbit, gribbit. You know another really good business? Teeny tiny baby coffins. You can get them in frog green or fire engine red. Really. The antibodies in yummy mummy only protect the kid for 6 months, which is why these companies think they can gouge you. They think that you'll spend whatEver they ask to keep your kid alive. Want to change things? Prove them wrong. A few hundred parents like you decide they'd rather let their kid die then cough up 40 bucks for a vaccination, beliEve me, prices will drop REALLY fast. Gribbit, gribbit, gribbit, gribbit, gribbit.",51,100
"Oligoclonal bands, and an increase of intrathecal IGG.",Which means multiple sclerosis. And the reason it takes three of you to tell me this?,8,16
McDonald criteria requires six months to make a definitive diagnosis.,"Oh, who cares about McPherson? I hear he tortured kittens.",10,10
Without the lesions we can't be sure.,"Well if it is, it's gone from 0 to 60 in three weeks, which would indiCate rapidly progressive MS. Not the fun MS with the balloons and the bike rides for cripples in wheelchairs.",7,34
We should wait until we,"Start treating him now, he can walk for another couple of years, maybe live for another 5. Break it to the family. I'm going home.",5,25
What are you doing back here? Patient?,"No, hooker. Went to my office instead of my home.",7,10
He shouldn't move after a lumbar puncture.,"I agree, he's gonna have a very nasty headache. That would also be my opinion if consulted tomorrow morning.",7,19
We wanted to keep you informed. He heard some pretty heavy news.,This is not a toddler wandering around a department store. He's 16. You'll find him. I'm going home.,12,18
"So, when you say ""Call me if you need anything,"" You mean, ""Don't call me.""","No, I mean ""Call me if I can do something."" I'm bad at search parties and I'm bad at sitting around looking nervous doing nothing.",15,25
What about his parents? Should we call them?,Why? You think they're hiding him? Make sure someone checks the roof; some of the orderlies keep the door propped open so they can grab a smoke.,8,27
"Right, well, I am black, but he was closer.","Come on, you can ride up with me.",9,8
"Come on, you can ride up with me.",Anybody tell the family that their boy almost stepped off a roof? They must be thrilled.,8,16
"They're not suing, but I think only because Chase asked them.","Why does Everyone always think I'm being sarcastic? This is great news! He doesn't have MS. The parents should be thrilled, well, the mom anyway. Of course, the dad pRobably doesn't know!",11,32
Why doesn't he have MS?,"He was on the roof thinking he was on the lacrosse field, conscious, and therefore not a night terror. You want some of this?",5,24
That the immune system is working.,"Right, he has an infection in his brain.",6,8
"Sure, didn't need one to confirm MS.","Ok, let's wait for you to run titers on 4000 viruses while this kid's brain turns to mush.",7,18
"So the fact that he doesn't have MS is, it's really not good news after all?","Well, it is if it's neurosyphilis, the likelihood of a false negative on an RPR test, 30, the likelihood of a 16 year old having sex, roughly 120.",16,28
I'll start him on IV penicillin.,We're not going to wait for that. The most effective way to deliver the drug is right into his brain via the spine.,6,23
"We can't. In a cramped space like the brain, increased intracranial pressure from a high-volume drug like penicillin could herniate his brain stem and kill him. No neurologist in his right mind would recommend that.",Show of hands. Who thinks I'm not in my right mind?,35,11
Show of hands. Who thinks I'm not in my right mind?,And who thinks I forget this fairly basic neurological fact?,11,10
And who thinks I forget this fairly basic neurological fact?,Who thinks there's a third option?,10,6
Who thinks there's a third option?,"Very good, what's the third choice?",6,6
"The Patient has a shunt in his brain. There'll be no increased pressure, we can put as much penicillin into his body as we want.","Excellent, inject him through a lumbar puncture.",25,7
Why would I want to sue you? I want you to treat me.,"You're from Maplewood, New Jersey. Right?",13,6
"Ok, you know what? Thank you, I'm gonna find a doctor to take care of this.","I didn't say I wouldn't treat you. We'll drain your knee, run some lab work, fix you right up.",16,19
I heard you found her on the roof.,You have very acute hearing.,8,5
"I saw the parents in the lobby, smart money is obviously on the father.",My guy knows a guy who can get you in for 50 bucks.,14,13
"Fine. You tell your guy if I win, you attend the faculty symposium and you wear a tie.","And if I win, no clinic hours for a week.",18,10
Too young for anything degenerative.,"""D"", see ya. ""N"" for neoplastic?",5,6
CT scan rules out subdural.,"Trauma, later much. You know the pRoblem? Midnight is actually spelled with a ""G"" and an ""H,"" If we could just figure out what those two letters stand for. It's a sick brain, having fun, torturing him, talking to him. Scaring the hell out of him. Get him an EEG, left and right EOG esophageal microphones. If this thing wants to talk, let's listen.",5,64
"Trauma, later much. You know the pRoblem? Midnight is actually spelled with a ""G"" and an ""H,"" If we could just figure out what those two letters stand for. It's a sick brain, having fun, torturing him, talking to him. Scaring the hell out of him. Get him an EEG, left and right EOG esophageal microphones. If this thing wants to talk, let's listen.",We're missing something. This is screwed up.,64,7
That's why you came up with the brain talking to the virus thing?,"I panicked, ok? Sounded cool though, they bought it.",13,9
"I panicked, ok? Sounded cool though, they bought it.","Oh, crap. Another reason I don't like meeting Patients. If they don't know what you look like they can't yell at you. Here we go.",9,25
How can you just sit there?,"If I eat standing up, I spill.",6,7
"Our son is dying, and you could care less? We're going through hell; you're doing nothing?","I'm sorry, you need to vent, I understand.",16,8
Don't be condescending. You haven't checked in on him once.,"Blood pressure's 11070, the shunt is patent well placed in the right lateral ventricle, the EKG shows a normal QRS with deep wave inversions throughout both limb and pericardial leads. LFTs are elevated but only twice the normal range. Oh yeah, and he's hearing voices. Go hold his hand. Go on; I'll bus your tray.",10,55
"Blood pressure's 11070, the shunt is patent well placed in the right lateral ventricle, the EKG shows a normal QRS with deep wave inversions throughout both limb and pericardial leads. LFTs are elevated but only twice the normal range. Oh yeah, and he's hearing voices. Go hold his hand. Go on; I'll bus your tray.",Got any sample bags on you?,55,6
I don't beliEve you. You're gonna run DNA tests?,"Their son is deathly ill, I know it's terrible, but the fact is if I don't keep busy with trivial things like this I'm afraid I might start to cry.",9,30
Yeah? You want to double the bet?,General Hospital is on channel 6.,7,6
"Dan's brain's not showing channel 6 right now, only mush.",No epileptiform activity. What are you doing?,10,7
Waiting for CBC and Chem-7.,"Good, run DNA on these.",5,5
You've caused me considerable mental distress.,"I certainly hope so. What? Too cheap to have your Lawyer serve it for you, or is it more fun this way?",6,22
You're just trying to scare me.,"It's reportable you know, public health issue.",6,7
I'll be sure to let my wife know.,"Oh, don't bother yourself, the state will call for you. Look, if you're clean I'm sure this will all blow over, no big deal. There's an easy way to find out, get one of your doctors to run a test.",8,40
"Oh, don't bother yourself, the state will call for you. Look, if you're clean I'm sure this will all blow over, no big deal. There's an easy way to find out, get one of your doctors to run a test.",Uh-uh. These are mine now. I'll see you in court.,40,10
Adoption makes him just as much his,"Listen, when we were taking his medical history, were you confused? Did you think we were looking for a genetic clue to his condition, or did you think we were trying to ascertain who loves him the most in the whole wide world?",7,43
We didn't give you any DNA.,Your coffee cups from the cafeteria.,6,6
"Sounds reasonable. Well, if you want to transfer your boy that is your choice, but I still think it's the wrong","Was she vaccinated? The biological mother, when she was a baby, did she get her vaccinations?",21,16
Dan was vaccinated at 6 months.,"Mm hmm, and do you know why kids get vaccinated at 6 months? Because before that, they are protected by their biological mother's immune system. So, was she vaccinated?",6,29
"Mm hmm, and do you know why kids get vaccinated at 6 months? Because before that, they are protected by their biological mother's immune system. So, was she vaccinated?","An infant picks up a regular old measles virus. He gets a rash, he's extremely uncomfortable, has a wicked fEver, but he lives. Here's the kicker, once Every million or so times, the virus mutates. Instead of Dan having a fEver and a rash the virus travels to his brain and hides like a time bomb. In this case for 16 years.",29,62
I suppose you could make an argument that the kid's still in stage one. Once SSPE moves to stage two,"Boom, stage two is universally fatal.",20,6
I assume it's impossible to tell when he might move into stage two.,"He's already started showing symptoms. It could be a month, it could be tonight.",13,14
"We won't get a reliable result for measles antibodies in his CSF, not after Everything we've given him.","So the wrong treatment kills any hope of the right diagnosis. Why do people lie to me? It could also kill him. Your ball, Foreman, tell me I don't have to biopsy his brain.",18,34
"You can't order a 3,200 DNA test to win a bet.","It's not an actual cost. I don't know if you know this, but the hospital actually owns the sequencing maParkne.",11,20
Insurance is not going to pay for a bet.,"It should. If we don't make that bet, the kid dies. If not for the paternity bet, I nEver would have taken their DNA, without their DNA we nEver would have discovered that Dan was adopted, which was the key to this case. You just don't want to pay your end. Big mistake. My guy knows a guy.",9,58
"Oh, Brandon. Brandon, I know I'm good but come on. Brandon, Brandon, Brandon!",Why do you want me to treat this guy?,13,9
Blood pressure's not responding to IV fluids.,"No, no I didn't ask how you plan to con me into treating him, I asked you why YOU want me to treat him.",7,24
"He's sick, I care, I'm pathetic.","There are about a billion sick people on the planet, why this one?",6,13
Because this one's is in our emergency room.,"Ah, so it's a proximity issue. If somebody was sick in the third floor stairwell that's who we would be talking about.",8,22
"Yes, I checked the stairwell, it's clear.","Ok then, emergency room guy it is.",7,7
"Nah, but then you wouldn't get the ""","Foreman, if you're going to list all the things it's not, it might be quicker to do it alphabetically. Let's see. Absidia? Excellent. Doesn't account for any of the symptoms.",8,30
No condition accounts for all these symptoms.,"Well, good! Because I thought maybe he was sick, but apparently he's not. Who wants to do up the discharge papers? Okay, unless we control the blood pressure, he's going to start circling the drain before we can figure out what's wrong with him. Treat him for sepsis, broad-spectrum antibiotics and I want a cort-stim test and an echocardiogram.",7,59
"One case is not a ""load"".","So, how are we doing on cotton swabs today? If there's an acute shortage I could run home """,6,19
"Short, sweet. Grab a file.","This ray of sunshine is Dr. Cuddy. Dr. Cuddy runs this whole hospital so, unfortunately, she's much too busy to deal with you. I am a bored certified diagnostician with a double specialty of infectious disease and nephrology. I'm also the only doctor currently employed at this clinic who is here against his will. That is true, isn't it? But not to worry, because for most of you this job could be done by a monkey with a bottle of Motrin. Speaking of which, if you're particularly annoying, you may see me reach for this. This is Vicodin. It's mine. You can't have any. And no, I do not have a pain Management pRoblem, I have a pain pRoblem. But who knows? Maybe I'm wrong. Maybe I'm too stoned to tell. So, who wants me? And who would rather wait for one of the other two doctors? Okay, well, I'll be in Exam Room 1 if you change your mind.",5,160
"I thought that might be a pRoblem, so I brought you this.",Your mucus was pale goldenrod.,12,5
Really? I thought I was okay now.,"And yet, here you are. What happened? Paramedics took a week to respond to your 911 call?",7,17
"You're not a very nice doctor, are you?",And you are very bad at whatEver it is you do.,8,11
You don't Even know me!,"I know you're going to get fired. That's why you got the new glasses, that's why your teeth are sParkly white. You're getting the most of your health insurance while you still can.",5,33
I just don't like being told what to do.,I'll get you in for a full body scan later this week.,9,12
"They're having an effect. His BP's falling fast. There's fluid filling his lungs. His creatinine's rising. His kidneys are shutting down. Our treatment isn't making him better, it's killing him.","So, we had six symptoms that didn't add up to anything, now we have sEven. Who's excited?",30,17
"I thought that's what we dealt with, here. It explains the cardiomyopathy, pain, the low BP, the fEver.","You read the book. Impressive. It's a ludicrously long shot that explains Every one of those symptoms, except for the cough and the rash. Should we just erase those?",18,29
"Well, anything can cause a rash.","Okay. Cardiac infection. Cameron, you thought! allergy? Chase, what was it you thought, carcinoid? And then there's hypothyroidism, could be parasites. Finally, sinus infection.",6,24
"If you're going to list all of the things it can't be, you're gonna need more colors.",Cameron was right. No condition explains all these symptoms. But orange and green covers Everything.,17,15
Occam's Razor. The simplest explanation is always the best.,And you think one is simpler than two.,9,8
"Pretty sure it is, yeah.",Baby shows up. Chase tells you that two people exchanged fluids to create this being. I tell you that one stork dropped the little tyke off in a diaper. You going to go with the two or the one?,5,39
I think your argument is specious.,"I think your tie is ugly. Why is one simpler than two? It's lower, lonelier! is it simpler? Each one of these conditions is about a thousand to one shot. That means that any two of them happening at the same time is a million to one shot. Chase says that cardiac infection is a 10 million to one shot, which makes my idea 10 times better than yours. Get a calculator, run the numbers.",6,75
How long are we waiting?,Two minutes less then when you asked me two minutes ago.,5,11
Hi. I'm Dr. Cuddy. Nice to meet you.,"Dr. Cuddy, thanks for the consult. His throat seems to have some condition.",8,13
He has a sore throat.,"Of course! Yes, why didn't I! I mean, because he said that! it hurt, and I, I should have deduced that meant it was sore!",5,25
"Wouldn't want to prescribe a lozenge if there was any doubt about its efficacy, huh?","You once asked why I think I'm always right, and I realized that you're right! at least, I think you're right. I don't really know now, do I?",15,28
"So, a Woman can't express her interest in sex without it being some professional powerplay?","No. If you look the way you do, and you say what you said, you have to be aware of the effect that it'll have on men.",15,27
Why didn't you page us?,'Cause I knew you'd be here.,5,6
Talk to me when you have.,What did you find out?,6,5
The kidney failure. It's acute interstitial nephritis.,I wonder if that's signifigant.,7,5
It means the antibiotics didn't cause the kidney failure. How did you know?,"Well, if you guys hadn't been so busy trying to prove me wrong, you might have checked in on the poor kid.",13,22
I looked in on him. He's much better.,"Ergo, the treatment's working. Ergo, me right, you wrong.",8,9
That smugness of yours really is an attractive quality.,Thank you. It was either that or get my hair highlighted. Smugness is easier to maintain.,9,16
